peak_Q,lag_WSS_Q,lag_WSS_WL,Category
18624.55,5.5,9.75,Medium
64378.83,12.5,18.5,Extreme
34648.46,3.25,6.0,High
28905.81,2.5,3.5,High
14779.02,12.5,0.0,Medium
18992.21,1.0,-0.75,Medium
18857.36,0.75,-8.25,Medium
13539.94,12.5,0.0,Medium
11564.6,12.5,0.0,Medium
10776.47,12.5,0.0,Medium
10609.35,0.5,-12.0,Medium
10303.97,-1.25,-13.75,Medium
9959.347,-12.25,-24.75,Low
10285.21,-12.0,-24.5,Medium
11234.44,1.0,0.75,Medium
10713.91,1.25,-11.25,Medium
9959.146,-8.75,-21.25,Low
9879.226,-11.25,-23.75,Low
9841.907,-2.75,-15.25,Low
9544.116,9.75,-2.75,Low
51591.34,12.5,18.75,Extreme
53465.48,10.0,16.0,Extreme
16114.59,12.0,-0.5,Medium
15487.85,-4.0,-16.5,Medium
12928.58,0.75,-11.75,Medium
12628.1,-11.0,-23.5,Medium
12998.88,0.5,-12.0,Medium
12388.89,11.75,-0.75,Medium
11840.0,-11.5,-24.0,Medium
11764.67,-10.5,-23.0,Medium
11919.13,1.75,-10.75,Medium
11645.83,-10.75,-23.25,Medium
11779.61,-11.0,-23.5,Medium
12194.63,-7.25,-19.75,Medium
16534.35,2.5,2.5,Medium
14305.77,2.25,14.5,Medium
17153.9,5.25,9.0,Medium
18076.39,4.25,12.5,Medium
17813.41,0.75,-11.75,Medium
13453.79,-5.5,-18.0,Medium
13210.64,0.0,-12.5,Medium
12586.76,-10.5,-23.0,Medium
12834.09,0.25,-12.25,Medium
12228.42,-11.75,-24.25,Medium
11749.1,-9.5,-22.0,Medium
11273.7,0.75,-11.75,Medium
10237.55,-11.75,-24.25,Medium
10763.67,3.5,5.0,Medium
9567.817,3.25,2.25,Low
9561.838,1.0,-11.5,Low
9436.134,-0.25,-12.75,Low
9379.954,2.0,3.25,Low
9328.883,0.25,-12.25,Low
9439.911,3.75,12.0,Low
9313.376,3.25,15.5,Low
11653.76,-12.25,0.0,Medium
21374.8,12.5,20.5,High
18578.2,12.5,0.0,Medium
18284.61,1.75,-10.75,Medium
16036.05,12.25,-0.25,Medium
13849.41,-0.25,-12.75,Medium
13658.04,-0.75,-13.25,Medium
12973.23,12.25,-0.25,Medium
53343.46,12.5,22.0,Extreme
33679.27,1.5,4.0,High
23707.54,2.5,4.5,High
27040.63,4.25,6.25,High
22580.09,0.5,-12.0,High
20150.65,12.5,0.0,High
17934.63,-11.0,-23.5,Medium
18387.73,-12.25,0.0,Medium
25787.57,2.5,5.25,High
22737.25,12.5,0.0,High
18486.61,1.25,0.0,Medium
20335.3,1.75,1.5,High
23932.31,12.5,12.75,High
16615.89,12.5,16.75,Medium
16335.46,-12.25,0.0,Medium
21493.88,12.0,23.0,High
17405.75,12.5,0.0,Medium
19608.05,-11.25,0.5,Medium
19891.75,0.5,-4.5,Medium
19987.51,0.5,3.0,Medium
25294.44,12.5,16.5,High
17313.09,3.5,-9.0,Medium
15857.29,12.5,0.0,Medium
27679.96,12.5,24.75,High
27568.36,12.5,18.75,High
25132.45,12.5,0.0,High
32717.66,12.5,16.75,High
20923.42,12.25,-0.25,High
20111.79,12.25,-0.25,High
18013.68,-11.5,-24.0,Medium
18470.26,2.0,-10.5,Medium
16981.19,-12.0,-24.5,Medium
17335.88,1.25,-11.25,Medium
14974.57,12.5,0.0,Medium
14629.8,0.75,-11.75,Medium
15760.33,1.5,4.75,Medium
14227.37,-11.75,-24.25,Medium
13957.65,1.0,-11.5,Medium
13602.44,-1.5,-14.0,Medium
13072.36,12.5,0.0,Medium
12388.91,-11.5,-24.0,Medium
13906.83,2.25,5.0,Medium
12488.65,-5.0,-17.5,Medium
12364.07,-9.75,-22.25,Medium
12110.88,-4.75,-17.25,Medium
11480.37,-0.75,-13.25,Medium
11406.31,-4.25,-16.75,Medium
23498.71,5.25,17.5,High
22401.38,12.5,24.75,High
64250.71,12.0,18.5,Extreme
25840.25,12.5,0.0,High
23445.71,12.5,0.0,High
20098.91,12.5,0.0,High
18834.15,12.25,-0.25,Medium
17466.33,-9.5,-22.0,Medium
18608.25,-12.25,0.0,Medium
142319.0,10.5,13.75,Extreme
52658.03,0.25,1.25,Extreme
32284.72,12.5,0.0,High
29997.29,12.5,0.0,High
27787.8,11.5,-1.0,High
25406.47,12.5,0.0,High
23901.52,12.5,0.0,High
20627.26,12.25,-0.25,High
19001.89,12.5,0.0,Medium
18483.65,-12.0,-24.5,Medium
18422.06,3.0,-9.5,Medium
16434.8,12.5,0.0,Medium
15471.85,12.5,0.0,Medium
15227.99,0.25,-12.25,Medium
13959.68,-9.25,-21.75,Medium
14402.57,-12.0,-24.5,Medium
15145.71,1.0,-10.25,Medium
14815.1,0.0,-12.5,Medium
14528.28,-11.0,-23.5,Medium
14382.98,-12.0,-24.5,Medium
14595.51,1.25,-11.25,Medium
13548.84,12.5,0.0,Medium
12582.7,12.5,0.0,Medium
12209.69,-8.5,-21.0,Medium
11860.23,9.75,-2.75,Medium
11440.84,0.25,-12.25,Medium
10298.48,-11.5,-24.0,Medium
11001.46,-10.0,-22.5,Medium
10775.82,-9.5,-22.0,Medium
10821.27,-5.0,-17.5,Medium
10140.23,-11.75,-24.25,Medium
10765.05,-1.0,-13.5,Medium
15829.74,3.75,7.25,Medium
